CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,AverageMonthlySpending,TotalChargesPerTenure,MonthlyChargeCategory,TenureGroup,IsLongTermContract,IsElectronicPayment
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,0,145.25531914893617,145.25531914893617,Low,Established,1,0
C00057,58,121,3537,One year,Credit Card,No,1,0,60.98275862068966,60.98275862068966,Medium,Loyal,1,0
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,0,119.54237288135593,119.54237288135593,Low,Loyal,0,0
C00059,36,38,3792,One year,Bank Transfer,Yes,1,0,105.33333333333333,105.33333333333333,Low,Established,1,0
C00060,26,182,7074,Month-to-month,Credit Card,No,0,0,272.0769230769231,272.0769230769231,High,Established,0,0
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,0,243.82608695652175,243.82608695652175,High,Developing,0,1
C00062,10,195,4284,Two year,Electronic Check,No,0,1,428.4,428.4,High,New,1,1
C00063,53,128,5803,One year,Bank Transfer,No,0,0,109.49056603773585,109.49056603773585,Medium,Loyal,1,0
C00064,25,176,4496,One year,Bank Transfer,No,1,0,179.84,179.84,High,Established,1,0
C00065,65,180,4142,One year,Credit Card,Yes,0,0,63.723076923076924,63.723076923076924,High,Loyal,1,0
C00066,3,140,2541,One year,Electronic Check,No,1,0,847.0,847.0,Medium,New,1,1
C00067,53,61,3631,One year,Bank Transfer,No,0,0,68.50943396226415,68.50943396226415,Low,Loyal,1,0
C00068,62,62,3016,Two year,Credit Card,Yes,0,0,48.645161290322584,48.645161290322584,Low,Loyal,1,0
C00069,2,102,1333,Two year,Credit Card,Yes,0,1,666.5,666.5,Medium,New,1,0
C00070,53,21,6828,One year,Credit Card,No,0,0,128.83018867924528,128.83018867924528,Low,Loyal,1,0
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,0,20.55072463768116,20.55072463768116,High,Loyal,0,1
C00072,68,153,1930,One year,Electronic Check,Yes,0,0,28.38235294117647,28.38235294117647,High,Loyal,1,1
C00073,13,125,3696,Two year,Credit Card,No,1,0,284.3076923076923,284.3076923076923,Medium,Developing,1,0
C00074,2,152,2038,Month-to-month,Bank Transfer,No,0,1,1019.0,1019.0,High,New,0,0
C00075,70,77,7593,Two year,Electronic Check,Yes,0,0,108.47142857142858,108.47142857142858,Medium,Loyal,1,1
C00076,35,170,936,One year,Bank Transfer,Yes,0,0,26.742857142857144,26.742857142857144,High,Established,1,0
C00077,4,43,7302,Month-to-month,Credit Card,Yes,0,1,1825.5,1825.5,Low,New,0,0
C00078,41,109,7937,Two year,Bank Transfer,Yes,1,0,193.58536585365854,193.58536585365854,Medium,Established,1,0
C00079,8,95,3792,One year,Bank Transfer,Yes,1,0,474.0,474.0,Medium,New,1,0
C00080,47,138,6406,Two year,Credit Card,Yes,0,0,136.29787234042553,136.29787234042553,Medium,Established,1,0
C00081,35,139,5211,Two year,Bank Transfer,No,0,0,148.88571428571427,148.88571428571427,Medium,Established,1,0
C00082,30,162,3917,One year,Credit Card,No,0,0,130.56666666666666,130.56666666666666,High,Established,1,0
C00083,27,142,1908,Two year,Bank Transfer,No,1,0,70.66666666666667,70.66666666666667,Medium,Established,1,0
C00084,50,141,4412,Month-to-month,Credit Card,No,0,0,88.24,88.24,Medium,Loyal,0,0
C00085,51,136,4725,Two year,Bank Transfer,Yes,1,0,92.6470588235294,92.6470588235294,Medium,Loyal,1,0
C00086,63,29,7685,Two year,Credit Card,Yes,1,0,121.98412698412699,121.98412698412699,Low,Loyal,1,0
C00087,43,103,2856,One year,Electronic Check,No,1,0,66.4186046511628,66.4186046511628,Medium,Established,1,1
C00088,40,108,2650,One year,Electronic Check,No,1,0,66.25,66.25,Medium,Established,1,1
C00089,41,177,4075,One year,Bank Transfer,Yes,0,0,99.39024390243902,99.39024390243902,High,Established,1,0
C00090,21,126,7735,One year,Credit Card,Yes,0,0,368.3333333333333,368.3333333333333,Medium,Developing,1,0
C00091,3,188,2422,Two year,Credit Card,No,1,0,807.3333333333334,807.3333333333334,High,New,1,0
C00092,42,122,1294,Two year,Bank Transfer,No,0,0,30.80952380952381,30.80952380952381,Medium,Established,1,0
C00093,18,29,7469,Month-to-month,Electronic Check,Yes,0,0,414.94444444444446,414.94444444444446,Low,Developing,0,1
C00094,55,193,4344,Two year,Bank Transfer,No,1,0,78.98181818181818,78.98181818181818,High,Loyal,1,0
C00095,21,140,3171,One year,Electronic Check,No,1,0,151.0,151.0,Medium,Developing,1,1
C00096,20,150,1780,Month-to-month,Electronic Check,Yes,0,0,89.0,89.0,Medium,Developing,0,1
C00097,15,40,510,Month-to-month,Bank Transfer,No,0,0,34.0,34.0,Low,Developing,0,0
C00098,42,172,1168,Month-to-month,Bank Transfer,No,1,0,27.80952380952381,27.80952380952381,High,Established,0,0
C00099,10,143,3353,Two year,Electronic Check,No,1,1,335.3,335.3,Medium,New,1,1
C00100,39,84,7566,One year,Electronic Check,No,1,0,194.0,194.0,Medium,Established,1,1
C00101,66,170,1059,Month-to-month,Electronic Check,No,1,0,16.045454545454547,16.045454545454547,High,Loyal,0,1
C00102,50,130,1087,One year,Electronic Check,Yes,1,0,21.74,21.74,Medium,Loyal,1,1
C00103,44,78,6369,One year,Bank Transfer,Yes,1,0,144.75,144.75,Medium,Established,1,0
C00104,7,39,6651,One year,Electronic Check,Yes,1,0,950.1428571428571,950.1428571428571,Low,New,1,1
C00105,3,115,5547,Two year,Bank Transfer,No,0,1,1849.0,1849.0,Medium,New,1,0
C00106,21,75,7026,Two year,Bank Transfer,Yes,1,0,334.57142857142856,334.57142857142856,Low,Developing,1,0
C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,1,2370.3333333333335,2370.3333333333335,Low,New,0,0
C00108,18,56,7925,One year,Electronic Check,No,0,0,440.27777777777777,440.27777777777777,Low,Developing,1,1
C00109,48,152,4042,One year,Electronic Check,Yes,1,0,84.20833333333333,84.20833333333333,High,Established,1,1
C00110,32,24,2939,Two year,Electronic Check,Yes,1,0,91.84375,91.84375,Low,Established,1,1
C00111,41,88,3461,One year,Bank Transfer,Yes,1,0,84.41463414634147,84.41463414634147,Medium,Established,1,0
C00112,55,87,3353,Two year,Credit Card,No,1,0,60.96363636363636,60.96363636363636,Medium,Loyal,1,0
C00113,15,102,1746,Month-to-month,Credit Card,No,1,0,116.4,116.4,Medium,Developing,0,0
C00114,31,111,2539,Month-to-month,Credit Card,No,0,0,81.90322580645162,81.90322580645162,Medium,Established,0,0
C00115,33,160,2315,One year,Bank Transfer,No,0,0,70.15151515151516,70.15151515151516,High,Established,1,0
C00116,70,164,5320,One year,Credit Card,No,0,0,76.0,76.0,High,Loyal,1,0
C00117,14,187,2225,Two year,Electronic Check,Yes,0,0,158.92857142857142,158.92857142857142,High,Developing,1,1
C00118,35,98,4023,Two year,Bank Transfer,Yes,0,0,114.94285714285714,114.94285714285714,Medium,Established,1,0
C00119,56,83,562,Month-to-month,Bank Transfer,Yes,0,0,10.035714285714286,10.035714285714286,Medium,Loyal,0,0
C00120,62,75,2451,One year,Credit Card,No,0,0,39.53225806451613,39.53225806451613,Low,Loyal,1,0
C00121,30,107,6906,One year,Credit Card,Yes,1,0,230.2,230.2,Medium,Established,1,0
C00122,15,147,2687,One year,Electronic Check,No,0,0,179.13333333333333,179.13333333333333,Medium,Developing,1,1
C00123,41,114,2419,Two year,Bank Transfer,No,1,0,59.0,59.0,Medium,Established,1,0
C00124,27,50,2751,Two year,Electronic Check,Yes,1,0,101.88888888888889,101.88888888888889,Low,Established,1,1
C00125,4,177,950,Month-to-month,Credit Card,Yes,0,1,237.5,237.5,High,New,0,0
C00126,62,183,7208,Two year,Electronic Check,Yes,1,0,116.25806451612904,116.25806451612904,High,Loyal,1,1
C00127,31,62,5887,One year,Bank Transfer,No,1,0,189.90322580645162,189.90322580645162,Low,Established,1,0
C00128,13,137,7128,One year,Bank Transfer,Yes,0,0,548.3076923076923,548.3076923076923,Medium,Developing,1,0
C00129,20,179,2692,Month-to-month,Bank Transfer,Yes,1,0,134.6,134.6,High,Developing,0,0
C00130,8,174,3979,Two year,Credit Card,Yes,0,1,497.375,497.375,High,New,1,0
C00131,2,125,7858,Month-to-month,Electronic Check,No,1,1,3929.0,3929.0,Medium,New,0,1
C00132,3,79,891,Month-to-month,Credit Card,No,1,1,297.0,297.0,Medium,New,0,0
C00133,48,92,5908,Two year,Bank Transfer,Yes,0,0,123.08333333333333,123.08333333333333,Medium,Established,1,0
C00134,15,28,6569,Month-to-month,Credit Card,No,1,0,437.93333333333334,437.93333333333334,Low,Developing,0,0
C00135,64,101,5706,Month-to-month,Bank Transfer,Yes,1,0,89.15625,89.15625,Medium,Loyal,0,0
C00136,52,152,4318,Two year,Bank Transfer,Yes,0,0,83.03846153846153,83.03846153846153,High,Loyal,1,0
C00137,10,134,4476,Month-to-month,Electronic Check,No,0,1,447.6,447.6,Medium,New,0,1
C00138,30,188,4095,Two year,Electronic Check,Yes,0,0,136.5,136.5,High,Established,1,1
C00139,27,67,3567,Month-to-month,Credit Card,Yes,1,0,132.11111111111111,132.11111111111111,Low,Established,0,0
C00140,2,184,5021,One year,Electronic Check,Yes,1,1,2510.5,2510.5,High,New,1,1
C00141,46,112,6817,Two year,Electronic Check,No,0,0,148.19565217391303,148.19565217391303,Medium,Established,1,1
C00142,11,115,1713,Two year,Bank Transfer,Yes,1,1,155.72727272727272,155.72727272727272,Medium,New,1,0
C00143,64,167,3677,Month-to-month,Bank Transfer,No,0,0,57.453125,57.453125,High,Loyal,0,0
C00144,65,47,5540,One year,Bank Transfer,Yes,1,0,85.23076923076923,85.23076923076923,Low,Loyal,1,0
C00145,21,173,7651,Two year,Bank Transfer,Yes,0,0,364.3333333333333,364.3333333333333,High,Developing,1,0
C00146,29,42,2058,One year,Credit Card,No,1,0,70.96551724137932,70.96551724137932,Low,Established,1,0
C00147,6,133,7448,One year,Credit Card,No,0,1,1241.3333333333333,1241.3333333333333,Medium,New,1,0
C00148,34,24,2004,Two year,Bank Transfer,Yes,1,0,58.94117647058823,58.94117647058823,Low,Established,1,0
C00149,20,114,1250,One year,Bank Transfer,Yes,0,0,62.5,62.5,Medium,Developing,1,0
C00150,42,132,3139,Month-to-month,Electronic Check,No,0,0,74.73809523809524,74.73809523809524,Medium,Established,0,1
C00151,5,105,5965,One year,Credit Card,No,0,1,1193.0,1193.0,Medium,New,1,0
C00152,45,139,7654,Month-to-month,Credit Card,No,1,0,170.0888888888889,170.0888888888889,Medium,Established,0,0
C00153,21,156,6366,Two year,Electronic Check,No,0,0,303.14285714285717,303.14285714285717,High,Developing,1,1
C00154,37,158,3355,Two year,Electronic Check,No,0,0,90.67567567567568,90.67567567567568,High,Established,1,1
C00155,68,40,5920,Month-to-month,Bank Transfer,Yes,1,0,87.05882352941177,87.05882352941177,Low,Loyal,0,0
C00156,26,148,4601,One year,Bank Transfer,Yes,0,0,176.96153846153845,176.96153846153845,Medium,Established,1,0
C00157,26,78,5632,Two year,Electronic Check,Yes,1,0,216.6153846153846,216.6153846153846,Medium,Established,1,1
C00158,1,86,7217,Two year,Bank Transfer,Yes,0,0,7217.0,7217.0,Medium,New,1,0
C00159,47,182,3250,One year,Electronic Check,No,1,0,69.14893617021276,69.14893617021276,High,Established,1,1
C00160,30,154,4096,One year,Bank Transfer,Yes,0,0,136.53333333333333,136.53333333333333,High,Established,1,0
C00161,51,78,984,Month-to-month,Electronic Check,Yes,1,0,19.294117647058822,19.294117647058822,Medium,Loyal,0,1
C00162,13,90,347,One year,Electronic Check,Yes,0,0,26.692307692307693,26.692307692307693,Medium,Developing,1,1
C00163,64,185,3916,One year,Credit Card,Yes,1,0,61.1875,61.1875,High,Loyal,1,0
C00164,60,171,220,Month-to-month,Credit Card,No,1,0,3.6666666666666665,3.6666666666666665,High,Loyal,0,0
C00165,69,48,3419,One year,Bank Transfer,Yes,1,0,49.55072463768116,49.55072463768116,Low,Loyal,1,0
C00166,40,105,791,One year,Credit Card,Yes,0,0,19.775,19.775,Medium,Established,1,0
C00167,23,110,6723,Two year,Bank Transfer,Yes,1,0,292.30434782608694,292.30434782608694,Medium,Developing,1,0
C00168,42,80,5832,One year,Electronic Check,No,1,0,138.85714285714286,138.85714285714286,Medium,Established,1,1
C00169,13,99,2938,Month-to-month,Credit Card,No,0,0,226.0,226.0,Medium,Developing,0,0
C00170,24,84,6882,One year,Credit Card,Yes,0,0,286.75,286.75,Medium,Developing,1,0
C00171,22,61,5363,Two year,Bank Transfer,Yes,1,0,243.77272727272728,243.77272727272728,Low,Developing,1,0
C00172,10,115,3717,One year,Electronic Check,Yes,0,1,371.7,371.7,Medium,New,1,1
C00173,62,160,1811,Month-to-month,Credit Card,Yes,1,0,29.20967741935484,29.20967741935484,High,Loyal,0,0
C00174,5,145,1090,Month-to-month,Credit Card,No,1,1,218.0,218.0,Medium,New,0,0
C00175,20,76,6396,Two year,Credit Card,Yes,1,0,319.8,319.8,Medium,Developing,1,0
C00176,68,67,1797,Two year,Electronic Check,No,1,0,26.426470588235293,26.426470588235293,Low,Loyal,1,1
C00177,42,50,279,One year,Electronic Check,No,0,0,6.642857142857143,6.642857142857143,Low,Established,1,1
C00178,3,180,3232,One year,Bank Transfer,No,0,0,1077.3333333333333,1077.3333333333333,High,New,1,0
C00179,68,193,3285,One year,Credit Card,No,0,0,48.30882352941177,48.30882352941177,High,Loyal,1,0
C00180,52,39,3233,Two year,Credit Card,Yes,1,0,62.17307692307692,62.17307692307692,Low,Loyal,1,0
C00181,4,135,4742,Month-to-month,Credit Card,No,1,1,1185.5,1185.5,Medium,New,0,0
C00182,13,64,4297,Month-to-month,Bank Transfer,Yes,1,0,330.53846153846155,330.53846153846155,Low,Developing,0,0
C00183,56,151,735,Two year,Credit Card,Yes,1,0,13.125,13.125,High,Loyal,1,0
C00184,61,29,2290,One year,Credit Card,Yes,0,0,37.540983606557376,37.540983606557376,Low,Loyal,1,0
C00185,47,130,2289,Month-to-month,Bank Transfer,Yes,0,0,48.702127659574465,48.702127659574465,Medium,Established,0,0
C00186,59,93,7342,Month-to-month,Bank Transfer,No,0,0,124.44067796610169,124.44067796610169,Medium,Loyal,0,0
C00187,47,199,6905,Two year,Electronic Check,Yes,1,0,146.91489361702128,146.91489361702128,High,Established,1,1
C00188,49,163,3776,One year,Bank Transfer,No,0,0,77.06122448979592,77.06122448979592,High,Loyal,1,0
C00189,31,100,4971,One year,Electronic Check,Yes,0,0,160.3548387096774,160.3548387096774,Medium,Established,1,1
C00190,52,185,7330,Two year,Credit Card,Yes,0,0,140.96153846153845,140.96153846153845,High,Loyal,1,0
C00191,46,51,466,One year,Bank Transfer,Yes,0,0,10.130434782608695,10.130434782608695,Low,Established,1,0
C00192,43,31,7992,Month-to-month,Credit Card,No,0,0,185.86046511627907,185.86046511627907,Low,Established,0,0
C00193,65,158,3712,One year,Credit Card,No,0,0,57.10769230769231,57.10769230769231,High,Loyal,1,0
C00194,71,138,6231,Month-to-month,Electronic Check,No,0,0,87.7605633802817,87.7605633802817,Medium,Loyal,0,1
C00195,27,121,4317,One year,Bank Transfer,No,0,0,159.88888888888889,159.88888888888889,Medium,Established,1,0
C00196,30,133,3029,Month-to-month,Credit Card,Yes,1,0,100.96666666666667,100.96666666666667,Medium,Established,0,0
C00197,37,152,2750,One year,Credit Card,No,0,0,74.32432432432432,74.32432432432432,High,Established,1,0
C00198,37,34,6987,Month-to-month,Electronic Check,No,1,0,188.83783783783784,188.83783783783784,Low,Established,0,1
C00199,3,63,1535,Two year,Electronic Check,No,0,0,511.6666666666667,511.6666666666667,Low,New,1,1
C00200,42,143,7310,One year,Electronic Check,Yes,0,0,174.04761904761904,174.04761904761904,Medium,Established,1,1
C00201,50,170,3185,Two year,Electronic Check,No,0,0,63.7,63.7,High,Loyal,1,1
C00202,50,169,159,One year,Bank Transfer,No,0,0,3.18,3.18,High,Loyal,1,0
C00203,29,189,5035,One year,Credit Card,Yes,1,0,173.6206896551724,173.6206896551724,High,Established,1,0
C00204,15,55,5421,Two year,Credit Card,No,0,0,361.4,361.4,Low,Developing,1,0
C00205,69,40,3396,Month-to-month,Credit Card,Yes,0,0,49.21739130434783,49.21739130434783,Low,Loyal,0,0
C00206,69,94,5765,Month-to-month,Electronic Check,Yes,0,0,83.55072463768116,83.55072463768116,Medium,Loyal,0,1
C00207,57,32,4351,One year,Bank Transfer,No,0,0,76.33333333333333,76.33333333333333,Low,Loyal,1,0
C00208,70,171,4801,Month-to-month,Electronic Check,No,0,0,68.58571428571429,68.58571428571429,High,Loyal,0,1
C00209,46,199,4023,Month-to-month,Electronic Check,Yes,0,0,87.45652173913044,87.45652173913044,High,Established,0,1
C00210,65,82,7742,Two year,Credit Card,Yes,0,0,119.1076923076923,119.1076923076923,Medium,Loyal,1,0
C00211,65,113,2956,Month-to-month,Credit Card,Yes,0,0,45.47692307692308,45.47692307692308,Medium,Loyal,0,0
C00212,51,160,4278,Two year,Credit Card,No,1,0,83.88235294117646,83.88235294117646,High,Loyal,1,0
C00213,44,59,1893,Month-to-month,Credit Card,Yes,0,0,43.02272727272727,43.02272727272727,Low,Established,0,0
C00214,7,142,3099,Month-to-month,Bank Transfer,No,1,1,442.7142857142857,442.7142857142857,Medium,New,0,0
C00215,59,29,1393,One year,Electronic Check,Yes,0,0,23.610169491525422,23.610169491525422,Low,Loyal,1,1
C00216,8,102,2161,One year,Bank Transfer,Yes,1,0,270.125,270.125,Medium,New,1,0
C00217,10,152,5250,Month-to-month,Credit Card,Yes,1,1,525.0,525.0,High,New,0,0
C00218,67,182,6193,Two year,Bank Transfer,Yes,0,0,92.43283582089552,92.43283582089552,High,Loyal,1,0
C00219,45,177,3091,One year,Bank Transfer,No,0,0,68.68888888888888,68.68888888888888,High,Established,1,0
C00220,33,198,2226,Two year,Bank Transfer,Yes,0,0,67.45454545454545,67.45454545454545,High,Established,1,0
C00221,57,118,5412,Two year,Credit Card,No,1,0,94.94736842105263,94.94736842105263,Medium,Loyal,1,0
C00222,67,37,1247,Month-to-month,Credit Card,No,1,0,18.611940298507463,18.611940298507463,Low,Loyal,0,0
C00223,31,70,1256,Month-to-month,Credit Card,No,0,0,40.516129032258064,40.516129032258064,Low,Established,0,0
C00224,19,43,6118,One year,Electronic Check,Yes,0,0,322.0,322.0,Low,Developing,1,1
C00225,40,156,7024,One year,Electronic Check,No,0,0,175.6,175.6,High,Established,1,1
C00226,24,142,7012,One year,Credit Card,Yes,0,0,292.1666666666667,292.1666666666667,Medium,Developing,1,0
C00227,57,123,5830,Month-to-month,Bank Transfer,Yes,0,0,102.28070175438596,102.28070175438596,Medium,Loyal,0,0
C00228,53,183,4023,Two year,Electronic Check,Yes,1,0,75.90566037735849,75.90566037735849,High,Loyal,1,1
C00229,24,32,1635,One year,Bank Transfer,No,1,0,68.125,68.125,Low,Developing,1,0
C00230,32,149,5477,Two year,Bank Transfer,No,1,0,171.15625,171.15625,Medium,Established,1,0
C00231,33,99,3225,One year,Credit Card,No,1,0,97.72727272727273,97.72727272727273,Medium,Established,1,0
C00232,20,151,2681,One year,Credit Card,No,1,0,134.05,134.05,High,Developing,1,0
C00233,12,52,7459,Two year,Electronic Check,No,0,0,621.5833333333334,621.5833333333334,Low,New,1,1
C00234,61,24,217,One year,Electronic Check,No,1,0,3.557377049180328,3.557377049180328,Low,Loyal,1,1
C00235,65,94,7183,One year,Bank Transfer,No,1,0,110.50769230769231,110.50769230769231,Medium,Loyal,1,0
C00236,13,115,6305,Two year,Credit Card,No,1,0,485.0,485.0,Medium,Developing,1,0
C00237,61,51,810,One year,Bank Transfer,No,0,0,13.278688524590164,13.278688524590164,Low,Loyal,1,0
C00238,33,151,6705,Month-to-month,Bank Transfer,No,1,0,203.1818181818182,203.1818181818182,High,Established,0,0
C00239,21,138,6404,Two year,Credit Card,Yes,1,0,304.95238095238096,304.95238095238096,Medium,Developing,1,0
C00240,56,108,6378,Two year,Bank Transfer,Yes,1,0,113.89285714285714,113.89285714285714,Medium,Loyal,1,0
C00241,69,121,7669,One year,Electronic Check,Yes,0,0,111.14492753623189,111.14492753623189,Medium,Loyal,1,1
C00242,16,196,7704,Two year,Electronic Check,No,0,0,481.5,481.5,High,Developing,1,1
C00243,28,33,1099,Two year,Credit Card,No,1,0,39.25,39.25,Low,Established,1,0
C00244,53,123,4561,One year,Bank Transfer,Yes,1,0,86.05660377358491,86.05660377358491,Medium,Loyal,1,0
C00245,23,104,2991,Two year,Electronic Check,No,0,0,130.04347826086956,130.04347826086956,Medium,Developing,1,1
C00246,15,60,3032,Month-to-month,Bank Transfer,No,1,0,202.13333333333333,202.13333333333333,Low,Developing,0,0
C00247,43,130,6856,One year,Bank Transfer,No,0,0,159.4418604651163,159.4418604651163,Medium,Established,1,0
C00248,60,48,4747,One year,Bank Transfer,No,1,0,79.11666666666666,79.11666666666666,Low,Loyal,1,0
C00249,48,79,3083,One year,Bank Transfer,Yes,1,0,64.22916666666667,64.22916666666667,Medium,Established,1,0
C00250,58,90,3841,Two year,Electronic Check,No,1,0,66.22413793103448,66.22413793103448,Medium,Loyal,1,1
C00251,24,48,1639,Month-to-month,Electronic Check,Yes,0,0,68.29166666666667,68.29166666666667,Low,Developing,0,1
C00252,9,138,515,Two year,Credit Card,No,0,1,57.22222222222222,57.22222222222222,Medium,New,1,0
C00253,55,71,1965,Two year,Credit Card,Yes,1,0,35.72727272727273,35.72727272727273,Low,Loyal,1,0
